wTask,Description,Actions,Objects
Infrastructure Task 1,Plan exit signs and inspect signs in the auditorium.,"monitor, audit, clean, calibrate, schedule","pipes, elevators, classrooms, HVAC units"
Infrastructure Task 2,Report UPS and refuel corridors in the library.,"maintain, rectify, replace, approve, plan","server room, fuel tanks, doors, water tanks"
Infrastructure Task 3,Repair fuel tanks and mark solar panels in the library.,"mark, refuel, repair, approve, clean","signs, switches, elevators, fiber cables, roofing"
Infrastructure Task 4,Install solar panels and replace pipes in the cafeteria.,"design, plan, report, configure, supervise","faucets, roofing, wiring, chairs"
Infrastructure Task 5,Calibrate landscaping tools and schedule fire extinguishers in the sports complex.,"verify, maintain, document, inspect, design","control panels, desks, routers, generators, water tanks"
Infrastructure Task 6,Upgrade walkways and assess routers in the sports complex.,"maintain, monitor, design, inspect","generators, routers, whiteboards, switches, corridors"
Infrastructure Task 7,Supervise lighting fixtures and replace fire extinguishers in the student hostels.,"plan, design, maintain, test, install","landscaping tools, UPS, paint, ramps, exit signs"
Infrastructure Task 8,Verify UPS and approve switches in the laboratory.,"monitor, schedule, maintain, test, document","solar panels, signs, pipes, roofing"
Infrastructure Task 9,Rectify roofing and assess fiber cables in the administration building.,"refuel, approve, install, upgrade, verify","pipes, chairs, roofing, handrails, fire extinguishers"
Infrastructure Task 10,Rectify chairs and test exit signs in the parking lot.,"design, supervise, maintain, calibrate","lighting fixtures, whiteboards, control panels, wiring, ramps"
Infrastructure Task 11,Design control panels and maintain security cameras in the student hostels.,"test, upgrade, inspect, install","faucets, chairs, water tanks, pipes, whiteboards"
Infrastructure Task 12,Rectify whiteboards and monitor fuel tanks in the library.,"schedule, monitor, rectify, replace, paint","fiber cables, roofing, landscaping tools, classrooms"
Infrastructure Task 13,Maintain UPS and design server room in the library.,"monitor, approve, plan, repair, maintain","fiber cables, security cameras, UPS, ramps"
Infrastructure Task 14,Clean signs and install classrooms in the library.,"verify, supervise, report, calibrate, inspect","security cameras, whiteboards, chairs, fiber cables"
Infrastructure Task 15,Verify HVAC units and design landscaping tools in the campus grounds.,"paint, plan, document, upgrade, clean","elevators, solar panels, landscaping tools, ramps, desks"
Infrastructure Task 16,Inspect walkways and plan parking sensors in the laboratory.,"design, audit, plan, verify","corridors, switches, faucets, lighting fixtures, ramps"
Infrastructure Task 17,Maintain server room and replace water tanks in the academic blocks.,"report, install, refuel, approve, schedule","desks, walkways, security cameras, chairs"
Infrastructure Task 18,Clean security cameras and mark faucets in the academic blocks.,"schedule, supervise, verify, refuel","server room, UPS, fuel tanks, walkways, exit signs"
Infrastructure Task 19,Repair roofing and design whiteboards in the auditorium.,"test, install, rectify, plan, replace","fuel tanks, water tanks, pipes, handrails"
Infrastructure Task 20,Inspect parking sensors and rectify HVAC units in the campus grounds.,"document, supervise, calibrate, plan","parking sensors, HVAC units, chairs, handrails, paint"
Infrastructure Task 21,Verify HVAC units and clean exit signs in the library.,"test, document, upgrade, rectify, replace","corridors, signs, security cameras, walkways, fiber cables"
Infrastructure Task 22,Audit switches and report corridors in the academic blocks.,"refuel, monitor, maintain, assess","exit signs, faucets, generators, HVAC units"
Infrastructure Task 23,Configure chairs and replace pipes in the administration building.,"rectify, audit, paint, assess","switches, faucets, fiber cables, landscaping tools, walkways"
Infrastructure Task 24,Repair fire extinguishers and replace chairs in the laboratory.,"supervise, mark, monitor, refuel","HVAC units, fire extinguishers, chairs, generators"
Infrastructure Task 25,Mark server room and install corridors in the lecture halls.,"approve, calibrate, refuel, schedule, rectify","elevators, corridors, control panels, ramps, wiring"
Infrastructure Task 26,Design generators and verify paint in the library.,"document, maintain, mark, paint, report","faucets, UPS, routers, corridors"
Infrastructure Task 27,Refuel HVAC units and configure fiber cables in the library.,"verify, upgrade, supervise, schedule","UPS, chairs, walkways, solar panels, classrooms"
Infrastructure Task 28,Supervise server room and approve fuel tanks in the sports complex.,"calibrate, maintain, design, monitor, audit","paint, routers, signs, walkways, handrails"
Infrastructure Task 29,Supervise fiber cables and verify handrails in the sports complex.,"plan, rectify, install, verify","ramps, fiber cables, chairs, desks"
Infrastructure Task 30,Configure water tanks and schedule ramps in the sports complex.,"maintain, document, plan, supervise","ramps, switches, fiber cables, wiring, parking sensors"
Infrastructure Task 31,Audit fuel tanks and calibrate exit signs in the cafeteria.,"replace, report, supervise, paint","paint, wiring, fire extinguishers, parking sensors, desks"
Infrastructure Task 32,Test signs and repair doors in the campus grounds.,"maintain, upgrade, repair, replace, schedule","UPS, elevators, roofing, walkways"
Infrastructure Task 33,Approve faucets and mark corridors in the academic blocks.,"assess, report, paint, supervise, verify","lighting fixtures, faucets, corridors, roofing, control panels"
Infrastructure Task 34,Configure lighting fixtures and mark faucets in the parking lot.,"test, paint, maintain, rectify","desks, parking sensors, server room, paint"
Infrastructure Task 35,Test walkways and clean doors in the academic blocks.,"monitor, assess, clean, replace","elevators, faucets, ramps, switches, classrooms"
Infrastructure Task 36,Repair ramps and install desks in the academic blocks.,"upgrade, verify, rectify, clean, calibrate","roofing, classrooms, desks, routers, UPS"
Infrastructure Task 37,Assess chairs and refuel water tanks in the academic blocks.,"rectify, plan, verify, calibrate","fiber cables, solar panels, fire extinguishers, landscaping tools"
Infrastructure Task 38,Install exit signs and upgrade switches in the cafeteria.,"inspect, monitor, supervise, clean, replace","paint, walkways, chairs, handrails, corridors"
Infrastructure Task 39,Verify ramps and design parking sensors in the library.,"refuel, assess, calibrate, approve, monitor","whiteboards, wiring, fiber cables, classrooms"
Infrastructure Task 40,Refuel solar panels and configure doors in the auditorium.,"verify, schedule, approve, clean, calibrate","fiber cables, lighting fixtures, walkways, paint, faucets"
Infrastructure Task 41,Design fire extinguishers and assess fire extinguishers in the parking lot.,"mark, refuel, repair, report","walkways, security cameras, pipes, elevators, signs"
Infrastructure Task 42,Monitor water tanks and install handrails in the cafeteria.,"design, maintain, upgrade, verify","water tanks, handrails, fire extinguishers, roofing, parking sensors"
Infrastructure Task 43,Inspect fuel tanks and document security cameras in the lecture halls.,"audit, rectify, schedule, assess, maintain","fuel tanks, parking sensors, switches, chairs, ramps"
Infrastructure Task 44,Test fiber cables and audit fiber cables in the administration building.,"replace, clean, report, test","wiring, roofing, HVAC units, corridors"
Infrastructure Task 45,Calibrate handrails and verify corridors in the lecture halls.,"monitor, design, repair, assess, mark","security cameras, routers, HVAC units, ramps, UPS"
Infrastructure Task 46,Replace solar panels and clean control panels in the campus grounds.,"approve, audit, replace, document, schedule","elevators, lighting fixtures, parking sensors, fire extinguishers, control panels"
Infrastructure Task 47,Supervise walkways and maintain lighting fixtures in the campus grounds.,"report, rectify, paint, design","exit signs, HVAC units, wiring, doors"
Infrastructure Task 48,Supervise routers and replace water tanks in the laboratory.,"maintain, install, test, assess, repair","handrails, exit signs, whiteboards, faucets"
Infrastructure Task 49,Plan fiber cables and report exit signs in the academic blocks.,"design, audit, inspect, rectify, approve","doors, classrooms, pipes, paint, exit signs"
Infrastructure Task 50,Document HVAC units and approve water tanks in the cafeteria.,"audit, configure, monitor, inspect","switches, fiber cables, fuel tanks, server room"
