Task,Description,Actions,Objects
Infrastructure Task 1,Inspect and replace faulty classroom lighting and update the campus lighting schedule.,"inspect, report, replace, schedule, document","lighting fixtures, wiring, switches, classrooms"
Infrastructure Task 2,Upgrade building network backbone to improve bandwidth for academic blocks.,"assess, plan, install,   test, document","switches, fiber cables, routers, server room"
Infrastructure Task 3,Conduct fire-safety audit and ensure emergency exits and signage meet compliance.,"audit, inspect, mark, report, rectify","fire extinguishers, exit signs, doors, corridors"
Infrastructure Task 4,"Oversee classroom refurbishment including seating, whiteboards, and paintwork.","schedule, supervise, install, paint, verify","desks, chairs, whiteboards, paint"
Infrastructure Task 5,Coordinate campus-wide power backup system maintenance and diesel generator testing.,"test, monitor, refuel, report, maintain","generators, UPS, fuel tanks, control panels"
Infrastructure Task 6,Plan and implement signage and accessibility improvements across campus.,"design, approve, install, inspect, document","signs, ramps, handrails, walkways"
Maintenance Task 1,Perform routine HVAC inspection and replace air filters in lecture halls.,"inspect, replace, clean, log, report","HVAC units, air filters, vents, thermostats"
Maintenance Task 2,Fix plumbing issues reported in student hostels and restore water supply.,"diagnose, repair, replace, test, close","pipes, taps, pumps, water heaters"
Maintenance Task 3,Service and lubricate campus lifts and submit safety compliance report.,"service, lubricate, test, certify, report","elevator motors, cables, control panels, doors"
Maintenance Task 4,Address pest control requirements in dining and storage areas.,"survey, treat, monitor, record, follow-up","storage rooms, kitchens, traps, pesticides"
Maintenance Task 5,Repair broken classroom furniture and replace damaged boards as needed.,"collect, repair, replace, inspect, dispose","chairs, desks, boards, screws"
Maintenance Task 6,Carry out routine campus groundskeeping including lawn mowing and pruning.,"schedule, mow, prune, clear, record","lawns, hedges, garden tools, waste bags"
Faculty Task 1,Prepare and schedule end-of-term exam timetable and invigilation assignments.,"draft, review, publish, assign, notify","timetable, exam halls, faculty list, invigilators"
Faculty Task 2,Organize a curriculum review meeting and gather feedback from departments.,"invite, collect, compile, discuss, update","agenda, syllabus documents, meeting minutes, feedback forms"
Faculty Task 3,Coordinate student project supervision assignments and milestone check-ins.,"assign, schedule, review, mentor, grade","student list, project briefs, progress reports, rubrics"
Faculty Task 4,Arrange faculty development workshops on teaching tools and assessment methods.,"plan, invite, deliver, evaluate, certificate","presentations, training room, materials, certificates"
